"Year","Group","Pct","Side","Amount","GroupName","PctMil","perPerson","Ratio"
1917,"Top.10",0.00795123641068694,"Top",10,"90-10",79512.3641068694,7951.23641068694,0.0721346876511075
1918,"Top.10",0.00777643930838208,"Top",10,"90-10",77764.3930838208,7776.43930838208,0.0705364764032154
1919,"Top.10",0.0079365870156781,"Top",10,"90-10",79365.870156781,7936.5870156781,0.0720007231455392
1920,"Top.10",0.00772594045301919,"Top",10,"90-10",77259.4045301919,7725.94045301919,0.0700748582593381
1921,"Top.10",0.00774100521050353,"Top",10,"90-10",77410.0521050353,7741.00521050353,0.0702125627082996
1922,"Top.10",0.00786078225389023,"Top",10,"90-10",78607.8225389023,7860.78225389023,0.0713075735940884
1923,"Top.10",0.00792533194588369,"Top",10,"90-10",79253.3194588369,7925.33194588369,0.0718978014556686
1924,"Top.10",0.00806840206129102,"Top",10,"90-10",80684.0206129102,8068.40206129102,0.0732062762215849
1925,"Top.10",0.00822987695858286,"Top",10,"90-10",82298.7695858286,8229.87695858286,0.0746835288807672
1926,"Top.10",0.00830223892877676,"Top",10,"90-10",83022.3892877676,8302.23892877676,0.0753456882652219
1927,"Top.10",0.00838932934329496,"Top",10,"90-10",83893.2934329496,8389.32934329496,0.0761427507024015
1928,"Top.10",0.00844377910593042,"Top",10,"90-10",84437.7910593042,8443.77910593042,0.076641152919046
1929,"Top.10",0.00842578793485204,"Top",10,"90-10",84257.8793485204,8425.78793485204,0.0764764658973262
1930,"Top.10",0.00836187853113153,"Top",10,"90-10",83618.7853113153,8361.87853113153,0.0758915023039949
1931,"Top.10",0.00835705380352258,"Top",10,"90-10",83570.5380352258,8357.05380352258,0.0758473445711386
1932,"Top.10",0.00839855075116051,"Top",10,"90-10",83985.5075116051,8398.55075116051,0.0762271543851649
1933,"Top.10",0.00841441064106067,"Top",10,"90-10",84144.1064106067,8414.41064106067,0.0763723238641511
1934,"Top.10",0.00825318436603999,"Top",10,"90-10",82531.8436603999,8253.18436603999,0.0748967963631709
1935,"Top.10",0.00811619992350538,"Top",10,"90-10",81161.9992350538,8116.19992350538,0.0736435047189147
1936,"Top.10",0.00815686629794583,"Top",10,"90-10",81568.6629794583,8156.86629794583,0.0740155314757314
1937,"Top.10",0.00798955092505044,"Top",10,"90-10",79895.5092505044,7989.55092505044,0.0724850815760119
1938,"Top.10",0.00796970684535825,"Top",10,"90-10",79697.0684535825,7969.70684535825,0.0723036001049245
1939,"Top.10",0.00800650467483766,"Top",10,"90-10",80065.0467483766,8006.50467483766,0.0726401356592758
1940,"Top.10",0.00775739709978888,"Top",10,"90-10",77573.9709978888,7757.39709978888,0.070362402999059
1941,"Top.10",0.00761763228534392,"Top",10,"90-10",76176.3228534392,7617.63228534392,0.0690849543467587
1942,"Top.10",0.00746767464606374,"Top",10,"90-10",74676.7464606374,7467.67464606374,0.0677147434876813
1943,"Top.10",0.00751821254311108,"Top",10,"90-10",75182.1254311108,7518.21254311108,0.0681764781411053
1944,"Top.10",0.00748620694913994,"Top",10,"90-10",74862.0694913994,7486.20694913994,0.0678840566388047
1945,"Top.10",0.00752308189305187,"Top",10,"90-10",75230.8189305187,7523.08189305187,0.0682209689738807
1946,"Top.10",0.00745905432118788,"Top",10,"90-10",74590.5432118788,7459.05432118788,0.0676359894097657
1947,"Top.10",0.00729979996684504,"Top",10,"90-10",72997.9996684504,7299.79996684504,0.0661813100263414
1948,"Top.10",0.00718656391873915,"Top",10,"90-10",71865.6391873915,7186.56391873915,0.0651472602183422
1949,"Top.10",0.00711216240602885,"Top",10,"90-10",71121.6240602885,7112.16240602885,0.064467968314902
1950,"Top.10",0.00715657544407849,"Top",10,"90-10",71565.7544407849,7156.57544407849,0.0648734507412539
1951,"Top.10",0.00714365550655137,"Top",10,"90-10",71436.5550655137,7143.65550655137,0.064755490475074
1952,"Top.10",0.00711307946459149,"Top",10,"90-10",71130.7946459149,7113.07946459149,0.0644763405149926
1953,"Top.10",0.0070316394072902,"Top",10,"90-10",70316.394072902,7031.6394072902,0.0637329014469672
1954,"Top.10",0.00705533498920529,"Top",10,"90-10",70553.3498920529,7055.33498920529,0.063949197916439
1955,"Top.10",0.00709674388440968,"Top",10,"90-10",70967.4388440968,7096.74388440968,0.0643272086845202
1956,"Top.10",0.0071306257045614,"Top",10,"90-10",71306.257045614,7130.6257045614,0.0646365302450718
1957,"Top.10",0.00718045300975725,"Top",10,"90-10",71804.5300975725,7180.45300975725,0.0650914632812425
1958,"Top.10",0.00717599646100269,"Top",10,"90-10",71759.9646100269,7175.99646100269,0.0650507722605514
1959,"Top.10",0.00724649594246542,"Top",10,"90-10",72464.9594246542,7246.49594246542,0.065694518544262
1960,"Top.10",0.00726801391695269,"Top",10,"90-10",72680.1391695269,7268.01391695269,0.0658910221183325
1961,"Top.10",0.00729255178495659,"Top",10,"90-10",72925.5178495659,7292.55178495659,0.0661151139569084
1962,"Top.10",0.0073625,"Top",10,"90-10",73625,7362.5,0.0667539761494
1963,"Top.10",0.00731375,"Top",10,"90-10",73137.5,7313.75,0.0663087153670155
1964,"Top.10",0.007265,"Top",10,"90-10",72650,7265,0.0658634983152604
1965,"Top.10",0.00721595,"Top",10,"90-10",72159.5,7215.95,0.0654155855948733
1966,"Top.10",0.0071669,"Top",10,"90-10",71669,7166.9,0.0649677171319127
1967,"Top.10",0.007080325,"Top",10,"90-10",70803.25,7080.325,0.0641773212923795
1968,"Top.10",0.0070471,"Top",10,"90-10",70471,7047.1,0.063874026653228
1969,"Top.10",0.007011,"Top",10,"90-10",70110,7011,0.0635445105635611
1970,"Top.10",0.00700025,"Top",10,"90-10",70002.5,7000.25,0.063446390595768
1971,"Top.10",0.006989025,"Top",10,"90-10",69890.25,6989.025,0.0633439373618202
