ord,type,category,subcategory_1,subcategory_2,indent,text,orig,all,gen_GI,gen_Trad,gen_Boom,gen_X,gen_Mil
1,demographics,,,,0,Number of consumer units (in thousands),Number of consumer units (in thousands),130001,1439,16471,44694,34780,32618
2,demographics,,,,0,,,,,,,,
3,demographics,,,,0,Consumer unit characteristics:,Consumer unit characteristics:,,,,,,
4,demographics,,,,0,,,,,,,,
5,demographics,Income before taxes,,,2,Income before taxes,Income before taxes,,,,,,
6,demographics,Income before taxes,,,2,Mean,Mean,73573,31992,41118,78907,95032,61608
7,demographics,Income before taxes,,,2,SE,SE,1098.2,3755.55,1399.48,1842.71,1782.76,1241.58
8,demographics,Income before taxes,,,2,CV(%),CV(%),1.49,11.74,3.4,2.34,1.88,2.02
9,demographics,Income before taxes,,,2,Income after taxes,Income after taxes,,,,,,
10,demographics,Income before taxes,,,2,Mean,Mean,63606,30653,38486,66697,81022,54939
11,demographics,Income before taxes,,,2,SE,SE,767.93,3150.55,1150.75,1307.29,1303.6,964.98
12,demographics,Income before taxes,,,2,CV(%),CV(%),1.21,10.28,2.99,1.96,1.61,1.76
13,demographics,Income before taxes,,,0,,,,,,,,
14,demographics,Income before taxes,,,0,Age of reference person,Age of reference person,50.9,91.9,78.1,61.1,44.3,28.5
51,spending,,,,0,Average annual expenditures,Average annual expenditures,,,,,,
52,spending,,,,0,Mean,Mean,60060,41874,44746,63050,72459,51306
53,spending,,,,0,SE,SE,681.34,4156.35,1230.32,1107.27,1094.83,845.15
54,spending,,,,0,CV(%),CV(%),1.13,9.93,2.75,1.76,1.51,1.65
55,spending,,,,0,,,,,,,,
56,spending,Food,,,2,Food,Food,,,,,,
57,spending,Food,,,2,Mean,Mean,7729,4311,5946,7802,9407,6903
58,spending,Food,,,2,Share,Share,12.9,10.3,13.3,12.4,13,13.5
59,spending,Food,,,2,SE,SE,89.36,445.42,240.8,156.51,176.13,176.71
60,spending,Food,,,2,CV(%),CV(%),1.16,10.33,4.05,2.01,1.87,2.56
61,spending,Food,Food at home,,4,Food at home,Food at home,,,,,,
62,spending,Food,Food at home,,4,Mean,Mean,4363,2500,3647,4557,5178,3680
63,spending,Food,Food at home,,4,Share,Share,7.3,6,8.2,7.2,7.1,7.2
64,spending,Food,Food at home,,4,SE,SE,50.1,291.52,130.4,91.89,126.9,109.87
65,spending,Food,Food at home,,4,CV(%),CV(%),1.15,11.66,3.58,2.02,2.45,2.99
66,spending,Food,Food at home,Cereals and bakery products,6,Cereals and bakery products,Cereals and bakery products,,,,,,
67,spending,Food,Food at home,Cereals and bakery products,6,Mean,Mean,564,469,486,578,668,480
68,spending,Food,Food at home,Cereals and bakery products,6,Share,Share,0.9,1.1,1.1,0.9,0.9,0.9
69,spending,Food,Food at home,Cereals and bakery products,6,SE,SE,9.42,98.7,19.69,23.34,19.18,17.91
70,spending,Food,Food at home,Cereals and bakery products,6,CV(%),CV(%),1.67,21.03,4.05,4.04,2.87,3.73
71,spending,Food,Food at home,Cereals and bakery products,8,Cereals and cereal products,Cereals and cereal products,,,,,,
72,spending,Food,Food at home,Cereals and bakery products,8,Mean,Mean,176,105,131,164,221,174
73,spending,Food,Food at home,Cereals and bakery products,8,Share,Share,0.3,0.3,0.3,0.3,0.3,0.3
74,spending,Food,Food at home,Cereals and bakery products,8,SE,SE,3.52,21.55,9.49,4.99,9.02,7.15
75,spending,Food,Food at home,Cereals and bakery products,8,CV(%),CV(%),2,20.5,7.24,3.05,4.09,4.12
76,spending,Food,Food at home,Cereals and bakery products,8,Bakery products,Bakery products,,,,,,
77,spending,Food,Food at home,Cereals and bakery products,8,Mean,Mean,388,364,355,415,447,307
78,spending,Food,Food at home,Cereals and bakery products,8,Share,Share,0.6,0.9,0.8,0.7,0.6,0.6
79,spending,Food,Food at home,Cereals and bakery products,8,SE,SE,7.68,96.55,14.59,21.16,13.15,13.59
80,spending,Food,Food at home,Cereals and bakery products,8,CV(%),CV(%),1.98,26.51,4.11,5.1,2.94,4.43
81,spending,Food,Food at home,"Meats, poultry, fish, and eggs",6,"Meats, poultry, fish, and eggs","Meats, poultry, fish, and eggs",,,,,,
82,spending,Food,Food at home,"Meats, poultry, fish, and eggs",6,Mean,Mean,944,396,762,1026,1120,759
83,spending,Food,Food at home,"Meats, poultry, fish, and eggs",6,Share,Share,1.6,0.9,1.7,1.6,1.5,1.5
84,spending,Food,Food at home,"Meats, poultry, fish, and eggs",6,SE,SE,12.89,84.17,41.14,27.55,33.85,27.99
85,spending,Food,Food at home,"Meats, poultry, fish, and eggs",6,CV(%),CV(%),1.37,21.25,5.4,2.68,3.02,3.69
86,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Beef,Beef,,,,,,
87,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Mean,Mean,253,74,210,277,296,205
88,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Share,Share,0.4,0.2,0.5,0.4,0.4,0.4
89,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,SE,SE,4.86,21.75,17.27,10.18,15.19,13.07
90,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,CV(%),CV(%),1.92,29.2,8.21,3.68,5.13,6.37
91,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Pork,Pork,,,,,,
92,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Mean,Mean,181,81,162,206,211,129
93,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Share,Share,0.3,0.2,0.4,0.3,0.3,0.3
94,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,SE,SE,4.59,19.54,13.19,9.29,12.46,7.5
95,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,CV(%),CV(%),2.53,24.13,8.13,4.52,5.9,5.81
96,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Other meats,Other meats,,,,,,
97,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Mean,Mean,128,72,106,149,144,97
98,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Share,Share,0.2,0.2,0.2,0.2,0.2,0.2
99,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,SE,SE,5.32,28.9,5.96,11.04,7.62,6.67
100,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,CV(%),CV(%),4.15,39.92,5.6,7.42,5.3,6.88
101,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Poultry,Poultry,,,,,,
102,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Mean,Mean,186,42,123,186,233,174
103,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Share,Share,0.3,0.1,0.3,0.3,0.3,0.3
104,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,SE,SE,4.85,11.03,11.96,7.36,11.4,7.28
105,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,CV(%),CV(%),2.61,26.35,9.76,3.96,4.89,4.18
106,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Fish and seafood,Fish and seafood,,,,,,
107,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Mean,Mean,140,102,119,156,166,103
108,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Share,Share,0.2,0.2,0.3,0.2,0.2,0.2
109,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,SE,SE,5.05,38.83,13.17,9.49,9.75,6.97
110,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,CV(%),CV(%),3.61,38.1,11.09,6.1,5.87,6.75
111,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Eggs,Eggs,,,,,,
112,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Mean,Mean,55,25,42,53,69,51
113,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,Share,Share,0.1,0.1,0.1,0.1,0.1,0.1
114,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,SE,SE,1.16,5.91,2.5,2.04,3.4,2.58
115,spending,Food,Food at home,"Meats, poultry, fish, and eggs",8,CV(%),CV(%),2.1,24.12,5.99,3.83,4.9,5.1
116,spending,Food,Food at home,Dairy products,6,Dairy products,Dairy products,,,,,,
117,spending,Food,Food at home,Dairy products,6,Mean,Mean,450,278,403,456,543,375
118,spending,Food,Food at home,Dairy products,6,Share,Share,0.7,0.7,0.9,0.7,0.8,0.7
119,spending,Food,Food at home,Dairy products,6,SE,SE,8.05,36.64,16.93,12.18,17.72,13.7
120,spending,Food,Food at home,Dairy products,6,CV(%),CV(%),1.79,13.18,4.2,2.67,3.26,3.65
121,spending,Food,Food at home,Dairy products,8,Fresh milk and cream,Fresh milk and cream,,,,,,
122,spending,Food,Food at home,Dairy products,8,Mean,Mean,147,77,122,142,182,132
123,spending,Food,Food at home,Dairy products,8,Share,Share,0.2,0.2,0.3,0.2,0.3,0.3
124,spending,Food,Food at home,Dairy products,8,SE,SE,3.06,13.52,5.66,4.56,6.83,5.5
125,spending,Food,Food at home,Dairy products,8,CV(%),CV(%),2.09,17.59,4.63,3.21,3.75,4.17
126,spending,Food,Food at home,Dairy products,8,Other dairy products,Other dairy products,,,,,,
127,spending,Food,Food at home,Dairy products,8,Mean,Mean,303,201,281,314,362,243
128,spending,Food,Food at home,Dairy products,8,Share,Share,0.5,0.5,0.6,0.5,0.5,0.5
129,spending,Food,Food at home,Dairy products,8,SE,SE,6,32.83,14.56,8.94,12.52,10.35
130,spending,Food,Food at home,Dairy products,8,CV(%),CV(%),1.98,16.32,5.19,2.85,3.46,4.25
131,spending,Food,Food at home,Fruits and vegetables,6,Fruits and vegetables,Fruits and vegetables,,,,,,
132,spending,Food,Food at home,Fruits and vegetables,6,Mean,Mean,837,526,719,855,975,739
133,spending,Food,Food at home,Fruits and vegetables,6,Share,Share,1.4,1.3,1.6,1.4,1.3,1.4
134,spending,Food,Food at home,Fruits and vegetables,6,SE,SE,14.3,60.56,37.71,21.25,28.75,29.74
135,spending,Food,Food at home,Fruits and vegetables,6,CV(%),CV(%),1.71,11.52,5.24,2.49,2.95,4.03
136,spending,Food,Food at home,Fruits and vegetables,8,Fresh fruits,Fresh fruits,,,,,,
137,spending,Food,Food at home,Fruits and vegetables,8,Mean,Mean,314,191,267,324,371,270
138,spending,Food,Food at home,Fruits and vegetables,8,Share,Share,0.5,0.5,0.6,0.5,0.5,0.5
139,spending,Food,Food at home,Fruits and vegetables,8,SE,SE,6.23,32.09,18.65,10.25,12.39,11.96
140,spending,Food,Food at home,Fruits and vegetables,8,CV(%),CV(%),1.98,16.76,6.98,3.17,3.34,4.43
141,spending,Food,Food at home,Fruits and vegetables,8,Fresh vegetables,Fresh vegetables,,,,,,
142,spending,Food,Food at home,Fruits and vegetables,8,Mean,Mean,274,170,241,280,319,241
143,spending,Food,Food at home,Fruits and vegetables,8,Share,Share,0.5,0.4,0.5,0.4,0.4,0.5
144,spending,Food,Food at home,Fruits and vegetables,8,SE,SE,5.67,41.58,15.26,8.69,11.69,11.95
145,spending,Food,Food at home,Fruits and vegetables,8,CV(%),CV(%),2.07,24.42,6.33,3.1,3.66,4.96
146,spending,Food,Food at home,Fruits and vegetables,8,Processed fruits,Processed fruits,,,,,,
147,spending,Food,Food at home,Fruits and vegetables,8,Mean,Mean,112,100,97,111,131,102
148,spending,Food,Food at home,Fruits and vegetables,8,Share,Share,0.2,0.2,0.2,0.2,0.2,0.2
149,spending,Food,Food at home,Fruits and vegetables,8,SE,SE,3.14,24.06,5.65,4.46,7.4,6.11
150,spending,Food,Food at home,Fruits and vegetables,8,CV(%),CV(%),2.8,23.95,5.85,4.02,5.64,6
151,spending,Food,Food at home,Fruits and vegetables,8,Processed vegetables,Processed vegetables,,,,,,
152,spending,Food,Food at home,Fruits and vegetables,8,Mean,Mean,136,64,115,140,154,126
153,spending,Food,Food at home,Fruits and vegetables,8,Share,Share,0.2,0.2,0.3,0.2,0.2,0.2
154,spending,Food,Food at home,Fruits and vegetables,8,SE,SE,3.06,17.42,5.51,5.25,5.77,6.8
155,spending,Food,Food at home,Fruits and vegetables,8,CV(%),CV(%),2.25,27.39,4.81,3.76,3.76,5.38
156,spending,Food,Food at home,Other food at home,6,Other food at home,Other food at home,,,,,,
157,spending,Food,Food at home,Other food at home,6,Mean,Mean,1568,830,1277,1642,1872,1327
158,spending,Food,Food at home,Other food at home,6,Share,Share,2.6,2,2.9,2.6,2.6,2.6
159,spending,Food,Food at home,Other food at home,6,SE,SE,20.79,107.02,41.49,39.97,46.64,42.79
160,spending,Food,Food at home,Other food at home,6,CV(%),CV(%),1.33,12.89,3.25,2.44,2.49,3.23
161,spending,Food,Food at home,Other food at home,8,Sugar and other sweets,Sugar and other sweets,,,,,,
162,spending,Food,Food at home,Other food at home,8,Mean,Mean,150,107,140,163,177,109
163,spending,Food,Food at home,Other food at home,8,Share,Share,0.2,0.3,0.3,0.3,0.2,0.2
164,spending,Food,Food at home,Other food at home,8,SE,SE,3.83,28.32,10.54,7.53,7.04,6.31
165,spending,Food,Food at home,Other food at home,8,CV(%),CV(%),2.56,26.46,7.52,4.61,3.99,5.8
166,spending,Food,Food at home,Other food at home,8,Fats and oils,Fats and oils,,,,,,
167,spending,Food,Food at home,Other food at home,8,Mean,Mean,117,44,104,125,135,97
168,spending,Food,Food at home,Other food at home,8,Share,Share,0.2,0.1,0.2,0.2,0.2,0.2
169,spending,Food,Food at home,Other food at home,8,SE,SE,2.98,9.91,5.49,5,6.27,4.65
170,spending,Food,Food at home,Other food at home,8,CV(%),CV(%),2.55,22.3,5.29,4.01,4.65,4.82
171,spending,Food,Food at home,Other food at home,8,Miscellaneous foods,Miscellaneous foods,,,,,,
172,spending,Food,Food at home,Other food at home,8,Mean,Mean,824,390,642,831,1000,738
173,spending,Food,Food at home,Other food at home,8,Share,Share,1.4,0.9,1.4,1.3,1.4,1.4
174,spending,Food,Food at home,Other food at home,8,SE,SE,13.11,73.41,24.14,24.28,29.5,24.42
175,spending,Food,Food at home,Other food at home,8,CV(%),CV(%),1.59,18.84,3.76,2.92,2.95,3.31
176,spending,Food,Food at home,Other food at home,8,Nonalcoholic beverages,Nonalcoholic beverages,,,,,,
177,spending,Food,Food at home,Other food at home,8,Mean,Mean,423,284,339,457,492,350
178,spending,Food,Food at home,Other food at home,8,Share,Share,0.7,0.7,0.8,0.7,0.7,0.7
179,spending,Food,Food at home,Other food at home,8,SE,SE,7.49,57.34,14.33,14.04,14.53,15.33
180,spending,Food,Food at home,Other food at home,8,CV(%),CV(%),1.77,20.19,4.23,3.07,2.95,4.38
181,spending,Food,Food at home,Other food at home,8,Food prepared by consumer unit on out-of-town trips,Food prepared by consumer unit on out-of-town trips,,,,,,
182,spending,Food,Food at home,Other food at home,8,Mean,Mean,56,5,51,66,69,33
183,spending,Food,Food at home,Other food at home,8,Share,Share,0.1,b/,0.1,0.1,0.1,0.1
184,spending,Food,Food at home,Other food at home,8,SE,SE,2.76,3.48,8.52,4.22,4.09,2.77
185,spending,Food,Food at home,Other food at home,8,CV(%),CV(%),4.94,65.67,16.59,6.43,5.94,8.39
186,spending,Food,Food away from home,,4,Food away from home,Food away from home,,,,,,
187,spending,Food,Food away from home,,4,Mean,Mean,3365,1811,2299,3245,4229,3223
188,spending,Food,Food away from home,,4,Share,Share,5.6,4.3,5.1,5.1,5.8,6.3
189,spending,Food,Food away from home,,4,SE,SE,58.55,346.72,145.27,98.92,111.81,111.59
190,spending,Food,Food away from home,,4,CV(%),CV(%),1.74,19.14,6.32,3.05,2.64,3.46
191,spending,Food,,,0,,,,,,,,
192,spending,Alcoholic beverages,,,2,Alcoholic beverages,Alcoholic beverages,,,,,,
193,spending,Alcoholic beverages,,,2,Mean,Mean,558,271,397,595,633,521
194,spending,Alcoholic beverages,,,2,Share,Share,0.9,0.6,0.9,0.9,0.9,1
195,spending,Alcoholic beverages,,,2,SE,SE,19.83,133.05,42.1,30.72,36.15,29.9
196,spending,Alcoholic beverages,,,2,CV(%),CV(%),3.55,49.17,10.61,5.16,5.71,5.73
197,spending,Alcoholic beverages,,,0,,,,,,,,
198,spending,Housing,,,2,Housing,Housing,,,,,,
199,spending,Housing,,,2,Mean,Mean,19884,20205,14963,19856,23721,18309
200,spending,Housing,,,2,Share,Share,33.1,48.3,33.4,31.5,32.7,35.7
201,spending,Housing,,,2,SE,SE,231.74,2710.97,352.97,331.94,411.78,382.43
202,spending,Housing,,,2,CV(%),CV(%),1.17,13.42,2.36,1.67,1.74,2.09
203,spending,Housing,Shelter,,4,Shelter,Shelter,,,,,,
204,spending,Housing,Shelter,,4,Mean,Mean,11895,13068,8108,11457,14512,11566
205,spending,Housing,Shelter,,4,Share,Share,19.8,31.2,18.1,18.2,20,22.5
206,spending,Housing,Shelter,,4,SE,SE,156.8,1420.34,276.06,210.56,274.86,318.82
207,spending,Housing,Shelter,,4,CV(%),CV(%),1.32,10.87,3.4,1.84,1.89,2.76
208,spending,Housing,Shelter,Owned dwellings,6,Owned dwellings,Owned dwellings,,,,,,
209,spending,Housing,Shelter,Owned dwellings,6,Mean,Mean,6947,4106,5073,8115,8824,4415
210,spending,Housing,Shelter,Owned dwellings,6,Share,Share,11.6,9.8,11.3,12.9,12.2,8.6
211,spending,Housing,Shelter,Owned dwellings,6,SE,SE,133.28,797.43,207.52,197.56,270.95,240.17
212,spending,Housing,Shelter,Owned dwellings,6,CV(%),CV(%),1.92,19.42,4.09,2.43,3.07,5.44
213,spending,Housing,Shelter,Owned dwellings,8,Mortgage interest and charges,Mortgage interest and charges,,,,,,
214,spending,Housing,Shelter,Owned dwellings,8,Mean,Mean,3265,251,1020,3294,5044,2595
215,spending,Housing,Shelter,Owned dwellings,8,Share,Share,5.4,0.6,2.3,5.2,7,5.1
216,spending,Housing,Shelter,Owned dwellings,8,SE,SE,73.29,137.05,79.31,101.33,173.78,100.08
217,spending,Housing,Shelter,Owned dwellings,8,CV(%),CV(%),2.24,54.7,7.77,3.08,3.45,3.86
218,spending,Housing,Shelter,Owned dwellings,8,Property taxes,Property taxes,,,,,,
219,spending,Housing,Shelter,Owned dwellings,8,Mean,Mean,2065,1892,2142,2660,2292,978
220,spending,Housing,Shelter,Owned dwellings,8,Share,Share,3.4,4.5,4.8,4.2,3.2,1.9
221,spending,Housing,Shelter,Owned dwellings,8,SE,SE,46.07,216.83,77.18,71.08,72.87,41.99
222,spending,Housing,Shelter,Owned dwellings,8,CV(%),CV(%),2.23,11.46,3.6,2.67,3.18,4.29
223,spending,Housing,Shelter,Owned dwellings,8,"Maintenance, repairs, insurance, other expenses","Maintenance, repairs, insurance, other expenses",,,,,,
224,spending,Housing,Shelter,Owned dwellings,8,Mean,Mean,1616,1964,1911,2160,1489,842
225,spending,Housing,Shelter,Owned dwellings,8,Share,Share,2.7,4.7,4.3,3.4,2.1,1.6
226,spending,Housing,Shelter,Owned dwellings,8,SE,SE,57.64,690.56,141.95,91.55,106.75,171.21
227,spending,Housing,Shelter,Owned dwellings,8,CV(%),CV(%),3.57,35.16,7.43,4.24,7.17,20.33
228,spending,Housing,Shelter,Rented dwellings,6,Rented dwellings,Rented dwellings,,,,,,
229,spending,Housing,Shelter,Rented dwellings,6,Mean,Mean,4167,8319,2438,2280,4812,6754
230,spending,Housing,Shelter,Rented dwellings,6,Share,Share,6.9,19.9,5.4,3.6,6.6,13.2
231,spending,Housing,Shelter,Rented dwellings,6,SE,SE,66.09,1388.08,202.78,78.95,150.96,175.6
232,spending,Housing,Shelter,Rented dwellings,6,CV(%),CV(%),1.59,16.69,8.32,3.46,3.14,2.6
233,spending,Housing,Shelter,Rented dwellings,6,Other lodging,Other lodging,,,,,,
234,spending,Housing,Shelter,Rented dwellings,6,Mean,Mean,782,643,597,1062,876,397
235,spending,Housing,Shelter,Rented dwellings,6,Share,Share,1.3,1.5,1.3,1.7,1.2,0.8
236,spending,Housing,Shelter,Rented dwellings,6,SE,SE,28.7,239.49,56.41,47.89,55.26,31.98
237,spending,Housing,Shelter,Rented dwellings,6,CV(%),CV(%),3.67,37.24,9.45,4.51,6.31,8.05
