Path Order,Radial Field,Country,Date,Day,Duration (hours),Duration (minutes),Minutes to hours,Mission,Number of Records,Sheet,Spacewalker,Table Name,"Total Duration (Hours, Minutes)",Total duration (Hours),Year
0,6.233333333,Russia,9/11/2000,Monday,6,14,0.233333333,STS-106,1,Spacewalk Detail,Yuri Malenchenko,Spacewalk Detail,6:14,6.23,2000
0,0.316666667,Russia,6/8/2001,Friday,0,19,0.316666667,Expedition 2,1,Spacewalk Detail,Yury Usachev,Spacewalk Detail,0:19,0.32,2001
0,2.766666667,Russia,12/3/2001,Monday,2,46,0.766666667,Expedition 3,1,Spacewalk Detail,Vladimir Dezhurov,Spacewalk Detail,2:46,2.77,2001
0,2.766666667,Russia,12/3/2001,Monday,2,46,0.766666667,Expedition 3,1,Spacewalk Detail,Mikhail Tyurin,Spacewalk Detail,2:46,2.77,2001
0,4.966666667,Russia,10/8/2001,Monday,4,58,0.966666667,Expedition 3,1,Spacewalk Detail,Vladimir Dezhurov,Spacewalk Detail,4:58,4.97,2001
0,4.966666667,Russia,10/8/2001,Monday,4,58,0.966666667,Expedition 3,1,Spacewalk Detail,Mikhail Tyurin,Spacewalk Detail,4:58,4.97,2001
0,5.066666667,Russia,11/12/2001,Monday,5,4,0.066666667,Expedition 3,1,Spacewalk Detail,Vladimir Dezhurov,Spacewalk Detail,5:4,5.07,2001
0,5.866666667,Russia,10/15/2001,Monday,5,52,0.866666667,Expedition 3,1,Spacewalk Detail,Vladimir Dezhurov,Spacewalk Detail,5:52,5.87,2001
0,5.866666667,Russia,10/15/2001,Monday,5,52,0.866666667,Expedition 3,1,Spacewalk Detail,Mikhail Tyurin,Spacewalk Detail,5:52,5.87,2001
0,4.416666667,Russia,8/16/2002,Friday,4,25,0.416666667,Expedition 5,1,Spacewalk Detail,Valery Korzun,Spacewalk Detail,4:25,4.42,2002
0,5.35,Russia,8/26/2002,Monday,5,21,0.35,Expedition 5,1,Spacewalk Detail,Valery Korzun,Spacewalk Detail,5:21,5.35,2002
0,5.35,Russia,8/26/2002,Monday,5,21,0.35,Expedition 5,1,Spacewalk Detail,Sergei Treschev,Spacewalk Detail,5:21,5.35,2002
0,5.983333333,Russia,1/25/2002,Friday,5,59,0.983333333,Expedition 4,1,Spacewalk Detail,Yury Onufrienko,Spacewalk Detail,5:59,5.98,2002
0,6.05,Russia,1/14/2002,Monday,6,3,0.05,Expedition 4,1,Spacewalk Detail,Yury Onufrienko,Spacewalk Detail,6:3,6.05,2002
0,0.233333333,Russia,6/24/2004,Thursday,0,14,0.233333333,Expedition 9,1,Spacewalk Detail,Gennady Padalka,Spacewalk Detail,0:14,0.23,2004
0,3.916666667,Russia,2/26/2004,Thursday,3,55,0.916666667,Expedition 8,1,Spacewalk Detail,Alexander Kaleri,Spacewalk Detail,3:55,3.92,2004
0,4.5,Russia,8/3/2004,Tuesday,4,30,0.5,Expedition 9,1,Spacewalk Detail,Gennady Padalka,Spacewalk Detail,4:30,4.50,2004
0,5.35,Russia,9/3/2004,Friday,5,21,0.35,Expedition 9,1,Spacewalk Detail,Gennady Padalka,Spacewalk Detail,5:21,5.35,2004
0,5.666666667,Russia,6/30/2004,Wednesday,5,40,0.666666667,Expedition 9,1,Spacewalk Detail,Gennady Padalka,Spacewalk Detail,5:40,5.67,2004
