year_round,country_code,value,over,fill,color,n,world,world_text,title,map_col,map_row
1960,AFG,0.049832100500000004,FALSE,0.049832100500000004,NA,7,2,0K,1960 7,17,15
1960,AGO,0.0882548445,FALSE,0.0882548445,NA,7,2,0K,1960 7,12,3
1960,ALB,1.3161904875000001,FALSE,1.3161904875000001,NA,7,2,0K,1960 7,12,16
1960,ARE,0.113797216,FALSE,0.113797216,NA,7,2,0K,1960 7,17,11
1960,ARG,2.405044465,FALSE,2.405044465,NA,7,2,0K,1960 7,3,1
1960,ATG,0.7558637395000001,FALSE,0.7558637395000001,NA,7,2,0K,1960 7,NA,NA
1960,AUS,8.61225283,FALSE,8.61225283,NA,7,2,0K,1960 7,20,3
1960,AUT,4.4348402345,FALSE,4.4348402345,NA,7,2,0K,1960 7,11,20
1960,BEL,10.022733032,TRUE,10,black,7,2,0K,1960 7,9,21
1960,BEN,0.0592013465,FALSE,0.0592013465,NA,7,2,0K,1960 7,11,9
1960,BFA,0.0139209015,FALSE,0.0139209015,NA,7,2,0K,1960 7,10,10
1960,BGR,3.0519105975,FALSE,3.0519105975,NA,7,2,0K,1960 7,14,19
1960,BHR,7.0468797665,FALSE,7.0468797665,NA,7,2,0K,1960 7,16,12
1960,BHS,4.248230685,FALSE,4.248230685,NA,7,2,0K,1960 7,3,16
1960,BLZ,0.432591194,FALSE,0.432591194,NA,7,2,0K,1960 7,2,11
1960,BMU,3.709928695,FALSE,3.709928695,NA,7,2,0K,1960 7,NA,NA
1960,BOL,0.27432965600000003,FALSE,0.27432965600000003,NA,7,2,0K,1960 7,3,4
1960,BRA,0.655700757,FALSE,0.655700757,NA,7,2,0K,1960 7,5,4
1960,BRB,0.7925903910000001,FALSE,0.7925903910000001,NA,7,2,0K,1960 7,5,9
1960,BRN,3.81897774,FALSE,3.81897774,NA,7,2,0K,1960 7,21,9
1960,CAF,0.0580428755,FALSE,0.0580428755,NA,7,2,0K,1960 7,13,7
1960,CAN,10.69937247,TRUE,10,black,7,2,0K,1960 7,2,22
1960,CHE,3.7080954815,FALSE,3.7080954815,NA,7,2,0K,1960 7,9,20
1960,CHL,1.7913412860000002,FALSE,1.7913412860000002,NA,7,2,0K,1960 7,2,1
1960,CHN,1.0032141365,FALSE,1.0032141365,NA,7,2,0K,1960 7,20,18
1960,CIV,0.13985599199999998,FALSE,0.13985599199999998,NA,7,2,0K,1960 7,9,8
1960,CMR,0.052923819,FALSE,0.052923819,NA,7,2,0K,1960 7,12,7
1960,COD,0.151504763,FALSE,0.151504763,NA,7,2,0K,1960 7,NA,NA
1960,COG,0.233611586,FALSE,0.233611586,NA,7,2,0K,1960 7,13,5
1960,COL,1.0342307295,FALSE,1.0342307295,NA,7,2,0K,1960 7,2,6
1960,COM,0.0571129895,FALSE,0.0571129895,NA,7,2,0K,1960 7,15,3
1960,CPV,0.107791268,FALSE,0.107791268,NA,7,2,0K,1960 7,7,14
1960,CRI,0.36209583349999996,FALSE,0.36209583349999996,NA,7,2,0K,1960 7,2,8
