year,field,genarea,n,first,last,range,ord,alpha
1992,African American Studies,Humanities,52,1992,2011,19,1992.99,1
2005,Agricultural and Resource Economics,Professional,48,1980,2011,31,1980.99,0.8
1970,Rhetoric,Professional,55,1969,2011,42,1969.99,0.8
1963,Agricultural Economics,Professional,29,1926,1974,48,1926.971601193436,0.8
1966,Agricultural Economics,Professional,21,1926,1974,48,1926.971601193436,0.8
1922,Agriculture,Professional,12,1911,1957,46,1911.9631476877175,0.8
1935,Agriculture,Professional,173,1911,1957,46,1911.9631476877175,0.8
1927,Romance Philology,Humanities,3,1924,1997,73,1924.9830382894083,0.8
1937,Agriculture,Professional,176,1911,1957,46,1911.9631476877175,0.8
1965,Romance Philology,Humanities,10,1924,1997,73,1924.9830382894083,0.8
1943,Romanic Languages,Humanities,26,1900,1943,43,1900.9561859771259,0.1
1953,Engineering,Engineering,257,1948,2011,63,1948.99,0.8
1956,Engineering,Engineering,155,1948,2011,63,1948.99,0.8
1993,Scandinavian,Humanities,45,1951,2011,60,1951.99,0.8
1999,Scandinavian,Humanities,51,1951,2011,60,1951.99,0.8
1910,Anatomy,Natural Sciences,7,1908,1988,80,1908.978562904028,0.8
1914,Anatomy,Natural Sciences,7,1908,1988,80,1908.978562904028,0.8
2001,Science and Mathematics Education,Education,8,1969,2011,42,1969.99,0.8
1964,Cell Physiology,Natural Sciences,31,1964,1974,10,1964.971601193436,1
1918,Anthropology,Social Sciences,13,1902,2011,109,1902.99,0.8
1919,Anthropology,Social Sciences,14,1902,2011,109,1902.99,0.8
1934,Anthropology,Social Sciences,18,1902,2011,109,1902.99,0.8
1936,Anthropology,Social Sciences,26,1902,2011,109,1902.99,0.8
1970,Engineering,Engineering,1080,1948,2011,63,1948.99,0.8
1957,Slavic Languages and Literatures?,Humanities,57,1952,2011,59,1952.99,0.8
1967,Anthropology,Social Sciences,62,1902,2011,109,1902.99,0.8
1969,Slavic Languages and Literatures?,Humanities,53,1952,2011,59,1952.99,0.8
1975,Slavic Languages and Literatures?,Humanities,62,1952,2011,59,1952.99,0.8
2001,Engineering,Engineering,334,1948,2011,63,1948.99,0.8
1978,Anthropology,Social Sciences,81,1902,2011,109,1902.99,0.8
1991,Anthropology,Social Sciences,67,1902,2011,109,1902.99,0.8
1995,Anthropology,Social Sciences,4,1902,2011,109,1902.99,0.8
1983,Arabic,Humanities,17,1983,1984,1,1983.976573843859,1
1911,Architecture,Professional,11,1900,2011,111,1900.99,0.8
1916,Architecture,Professional,14,1900,2011,111,1900.99,0.8
1923,Architecture,Professional,15,1900,2011,111,1900.99,0.8
1943,English,Humanities,50,1900,2011,111,1900.99,0.8
1931,Architecture,Professional,20,1900,2011,111,1900.99,0.8
1934,Architecture,Professional,25,1900,2011,111,1900.99,0.8
1944,Architecture,Professional,20,1900,2011,111,1900.99,0.8
1951,English,Humanities,74,1900,2011,111,1900.99,0.8
1988,Social Welfare,Professional,69,1939,2011,72,1939.99,0.8
1968,Architecture,Professional,39,1900,2011,111,1900.99,0.8
1977,Architecture,Professional,59,1900,2011,111,1900.99,0.8
1950,Sociology,Social Sciences,20,1950,2011,61,1950.99,1
1988,Architecture,Professional,75,1900,2011,111,1900.99,0.8
1994,Architecture,Professional,166,1900,2011,111,1900.99,0.8
1923,Art,Humanities,15,1923,1971,48,1923.9701093983092,1
1944,Art,Humanities,18,1923,1971,48,1923.9701093983092,0.8
1946,Art,Humanities,29,1923,1971,48,1923.9701093983092,0.8
1948,Art,Humanities,39,1923,1971,48,1923.9701093983092,0.8
1999,Sociology,Social Sciences,26,1950,2011,61,1950.99,0.8
2001,Sociology,Social Sciences,12,1950,2011,61,1950.99,0.8
1964,Art,Humanities,31,1923,1971,48,1923.9701093983092,0.8
2005,Asian American Studies,Humanities,39,1978,2009,31,1978.9890054699156,0.5
2011,Asian Studies,Humanities,8,1975,2011,36,1975.99,0.8
1965,Soils and Plant Nutrition,Professional,28,1954,1975,21,1954.9720984584783,0.8
1975,Soils and Plant Nutrition,Professional,85,1954,1975,21,1954.9720984584783,0.1
1945,Astronomy,Natural Sciences,15,1900,2011,111,1900.99,0.8
1980,South and Southeast Asian Studies,Humanities,57,1975,2011,36,1975.99,0.8
1956,Astronomy,Natural Sciences,19,1900,2011,111,1900.99,0.8
1990,Astronomy,Natural Sciences,27,1900,2011,111,1900.99,0.8
1962,Bacteriology,Natural Sciences,23,1924,1977,53,1924.973092988563,0.8
1923,Spanish,Humanities,18,1911,1974,63,1911.971601193436,0.8
1978,Bacteriology and Immunology,Natural Sciences,28,1965,1978,13,1965.9735902536052,0.1
1933,Spanish and Portuguese,Humanities,22,1931,2011,80,1931.99,0.8
1988,Biology,Natural Sciences,20,1966,1991,25,1966.9800546991546,0.4
1991,Biomedical and Environmental Health Sciences,Professional,72,1976,1992,16,1976.9805519641968,0.2
1911,Botany,Natural Sciences,9,1900,1988,88,1900.978562904028,0.8
1914,Botany,Natural Sciences,14,1900,1988,88,1900.978562904028,0.8
1941,Botany,Natural Sciences,24,1900,1988,88,1900.978562904028,0.8
1965,Botany,Natural Sciences,24,1900,1988,88,1900.978562904028,0.8
1984,Botany,Natural Sciences,47,1900,1988,88,1900.978562904028,0.5
1955,Statistics,Natural Sciences,45,1954,2011,57,1954.99,0.8
1974,Business Administration,Professional,126,1942,2011,69,1942.99,0.8
1946,Surgery,Professional,2,1946,1946,0,1946.9576777722525,1
1990,Business Administration,Professional,154,1942,2011,69,1942.99,0.8
1993,Business Administration,Professional,133,1942,2011,69,1942.99,0.8
1951,Zoology,Natural Sciences,57,1900,1988,88,1900.978562904028,0.8
2003,Business Administration,Professional,249,1942,2011,69,1942.99,0.8
1970,Cell Physiology,Natural Sciences,2,1964,1974,10,1964.971601193436,0.5
2005,Celtic Studies,Humanities,23,1990,2011,21,1990.99,0.8
1988,Zoology,Natural Sciences,61,1900,1988,88,1900.978562904028,0.1
1990,Chemical Engineering,Engineering,33,1956,2011,55,1956.99,0.8
2005,Chemical Engineering,Engineering,130,1956,2011,55,1956.99,0.8
1940,Chemistry,Natural Sciences,13,1900,2007,107,1900.988010939831,0.8
1957,Chemistry,Natural Sciences,55,1900,2007,107,1900.988010939831,0.8
1964,Chemistry,Natural Sciences,54,1900,2007,107,1900.988010939831,0.8
1981,Chemistry,Natural Sciences,32,1900,2007,107,1900.988010939831,0.8
1946,German,Humanities,44,1900,2011,111,1900.99,0.8
1952,Chemistry and Chemical Engineering,Natural Sciences,49,1948,1955,7,1948.962153157633,0.4
1973,City and Regional Planning,Professional,39,1948,2011,63,1948.99,0.8
1980,City and Regional Planning,Professional,45,1948,2011,63,1948.99,0.8
1981,City and Regional Planning,Professional,48,1948,2011,63,1948.99,0.8
1999,City and Regional Planning,Professional,19,1948,2011,63,1948.99,0.8
2011,City and Regional Planning,Professional,66,1948,2011,63,1948.99,0.8
1911,Civil Engineering,Engineering,31,1900,1995,95,1900.9820437593237,0.8
1915,Civil Engineering,Engineering,32,1900,1995,95,1900.9820437593237,0.8
1917,Civil Engineering,Engineering,30,1900,1995,95,1900.9820437593237,0.8
1918,Civil Engineering,Engineering,36,1900,1995,95,1900.9820437593237,0.8
1924,Civil Engineering,Engineering,33,1900,1995,95,1900.9820437593237,0.8
1912,Greek,Humanities,14,1900,1937,37,1900.9532023868721,0.8
1973,Civil Engineering,Engineering,315,1900,1995,95,1900.9820437593237,0.8
1985,History,Social Sciences,13,1903,2011,108,1903.99,0.8
1946,Classics,Humanities,35,1938,2011,73,1938.99,0.8
1961,Classics,Humanities,39,1938,2011,73,1938.99,0.8
1973,Classics,Humanities,92,1938,2011,73,1938.99,0.8
1994,Human Biodynamics,Education,43,1994,1995,1,1994.9820437593237,1
1986,Humanities,Humanities,4,1961,1995,34,1961.9820437593237,0.8
1995,Humanities,Humanities,35,1961,1995,34,1961.9820437593237,0.1
1918,Hygeine,Professional,14,1906,1943,37,1906.9561859771259,0.8
2005,Comparative Literature,Humanities,14,1947,2011,64,1947.99,0.8
1975,Computer Science,Natural Sciences,43,1968,2005,37,1968.9870164097465,0.8
1980,Industrial Engineering and Operations Research,Engineering,109,1971,2011,40,1971.99,0.8
1985,Conservation and Resource Studies,Professional,21,1981,1993,12,1981.9810492292393,0.8
1994,Consumer Sciences,Professional,8,1976,1999,23,1976.9840328194928,0.6
1957,Criminology,Social Sciences,33,1949,1975,26,1949.9720984584783,0.8
1943,Decorative Art,Humanities,11,1939,1964,25,1939.9666285430135,0.8
1976,Design,Professional,24,1965,1978,13,1965.9735902536052,0.3
1975,International Education,Humanities,3,1974,1987,13,1974.9780656389855,0.8
1962,Dramatic Art,Humanities,38,1942,1994,52,1942.9815464942815,0.8
1925,Economics,Social Sciences,9,1902,2011,109,1902.99,0.8
1926,Economics,Social Sciences,9,1902,2011,109,1902.99,0.8
1940,Economics,Social Sciences,68,1902,2011,109,1902.99,0.8
1953,Economics,Social Sciences,60,1902,2011,109,1902.99,0.8
1956,Economics,Social Sciences,62,1902,2011,109,1902.99,0.8
1971,Economics,Social Sciences,51,1902,2011,109,1902.99,0.8
1984,Economics,Social Sciences,102,1902,2011,109,1902.99,0.8
1989,Economics,Social Sciences,75,1902,2011,109,1902.99,0.8
1974,Education,Education,138,1900,2011,111,1900.99,0.8
2003,Education,Education,26,1900,2011,111,1900.99,0.8
1995,Logic and the Methodology of Science,Social Sciences,8,1966,2011,45,1966.99,0.8
2009,Logic and the Methodology of Science,Social Sciences,49,1966,2011,45,1966.99,0.8
1977,Materials Science and Mineral Engineering,Engineering,72,1977,1999,22,1977.9840328194928,1
1988,Endocrinology,Natural Sciences,45,1987,1994,7,1987.9815464942815,0.8
1994,Energy and Resources Group ERG,Natural Sciences,24,1981,2011,30,1981.99,0.8
1961,Engineering,Engineering,329,1948,2011,63,1948.99,0.8
1958,Mathematics,Natural Sciences,60,1900,2011,111,1900.99,0.8
1957,Nursing,Professional,39,1940,1958,18,1940.9636449527598,0.2
1994,Engineering,Engineering,79,1948,2011,63,1948.99,0.8
1995,Mathematics,Natural Sciences,59,1900,2011,111,1900.99,0.8
1920,Mechanical and Electrical Engineering,Engineering,47,1901,1930,29,1901.9497215315764,0.8
1914,English,Humanities,27,1900,2011,111,1900.99,0.8
1926,English,Humanities,27,1900,2011,111,1900.99,0.8
