"Retweet_Num","Likes_Num","Name","Time_Stamp","Handle","ID","Error_Type","Original_Link"
NA,NA,NA,NA,NA,6.0001,"Not Twitter URL/Variety Error Type","https://nilviz.wordpress.com/2016/02/10/makeover-monday-mapping-police-violence/"
1,4,"たむ","5:38 PM - 5 Jul 2016 ","@crosspointst",27.0001,"No Error","https://twitter.com/crosspointst/status/750489051183013889"
1,3,"ヤング","10:09 PM - 19 Aug 2016 ","@young_td_frt",33.0001,"No Error","https://twitter.com/young_td_frt/status/766864609919643648"
1,1,"ヤング","4:33 PM - 1 Aug 2016 ","@young_td_frt",31.0001,"No Error","https://twitter.com/young_td_frt/status/760257071086391296"
1,1,"ヤング","7:48 AM - 11 Jul 2016 ","@young_td_frt",28.0001,"No Error","https://twitter.com/young_td_frt/status/752519155304181761"
1,8,"たぶろう","3:23 AM - 15 Aug 2016 ","@tabcmd",33.0002,"No Error","https://twitter.com/tabcmd/status/765131677546848256"
1,1,"たぶろう","11:21 PM - 27 Jun 2016 ","@tabcmd",26.0001,"No Error","https://twitter.com/tabcmd/status/747676169093451776"
NA,4,"たぶろう","1:02 AM - 21 Jun 2016 ","@tabcmd",20.0001,"No Error","https://twitter.com/tabcmd/status/745164900016656384"
3,7,"たぶろう","10:57 PM - 20 Jun 2016 ","@tabcmd",25.0001,"No Error","https://twitter.com/tabcmd/status/745133424713703424"
3,4,"たぶろう","11:01 PM - 20 Jun 2016 ","@tabcmd",25.0002,"No Error","https://twitter.com/tabcmd/status/745134504428208129"
NA,3,"木田　和廣","8:14 PM - 15 Jul 2016 ","@kazkida",28.0002,"No Error","https://twitter.com/kazkida/status/754152188910239744"
1,4,"木田　和廣","8:03 AM - 5 Jul 2016 ","@kazkida",27.0002,"No Error","https://twitter.com/kazkida/status/750344266585477120"
1,6,"木田　和廣","5:28 PM - 1 Jul 2016 ","@kazkida",26.0002,"No Error","https://twitter.com/kazkida/status/749037050100195328"
NA,2,"木田　和廣","11:17 PM - 22 Jun 2016 ","@kazkida",25.0003,"No Error","https://twitter.com/kazkida/status/745863449058631681"
2,3,"すーぱーSE","12:44 AM - 12 Jul 2016 ","@itpro_se",28.0003,"No Error","https://twitter.com/itpro_se/status/752770601547239424"
1,2,"すーぱーSE","6:37 AM - 6 Jul 2016 ","@itpro_se",27.0003,"No Error","https://twitter.com/itpro_se/status/750684983744864257"
2,3,"すーぱーSE","7:11 PM - 4 Jul 2016 ","@itpro_se",27.0004,"No Error","https://twitter.com/itpro_se/status/750150184831553536"
1,9,"すーぱーSE","9:39 AM - 30 Jun 2016 ","@itpro_se",26.0003,"No Error","https://twitter.com/itpro_se/status/748556687682863104"
3,7,"すーぱーSE","11:30 PM - 20 Jun 2016 ","@itpro_se",25.0004,"No Error","https://twitter.com/itpro_se/status/745141804819845120"
NA,3,"Aalok Jain","5:20 AM - 21 Feb 2016 ","@aalokjain",6.0002,"No Error","https://twitter.com/aalokjain/status/701396140877545473"
1,5,"Aalok Jain","3:54 PM - 1 Feb 2016 ","@aalokjain",5.0001,"No Error","https://twitter.com/aalokjain/status/694307759630712832"
NA,1,"Aalok Jain","2:58 PM - 25 Jan 2016 ","@aalokjain",4.0001,"No Error","https://twitter.com/aalokjain/status/691756956932034560"
NA,NA,NA,NA,NA,3.0001,"Not Twitter URL/Variety Error Type","https://public.tableau.com/views/MakeoverMonday_Wk3_18012016/Dashboard1?:embed=y&:showVizHome=no&:showTabs=y&:display_count=y&:display_static_image=y&:bootstrapWhenNotified=true"
NA,4,"Aaron Leishman","6:22 AM - 8 Feb 2016 ","@aaronleishman",6.0003,"No Error","https://twitter.com/aaronleishman/status/696700637938057218/photo/1"
NA,2,"Abhimanyu Choudhary","6:16 AM - 12 Aug 2016 ","@abhimcho",32.0001,"No Error","https://twitter.com/abhimcho/status/764088131276517376"
NA,4,"Abhimanyu Choudhary","6:55 AM - 4 Aug 2016 ","@abhimcho",31.0002,"No Error","https://twitter.com/abhimcho/status/761198848018518016"
1,23,"Adam Crahen","10:07 PM - 18 Dec 2016 ","@acrahen",51.0001,"No Error","https://twitter.com/acrahen/status/810728127517356032"
10,48,"Adam Crahen","9:30 PM - 11 Dec 2016 ","@acrahen",50.0001,"No Error","https://twitter.com/acrahen/status/808182323598553088"
1,28,"Adam Crahen","6:29 AM - 4 Dec 2016 ","@acrahen",49.0001,"No Error","https://twitter.com/acrahen/status/805418684323921920"
NA,23,"Adam Crahen","8:57 AM - 4 Dec 2016 ","@acrahen",49.0002,"No Error","https://twitter.com/acrahen/status/805456019379851265"
4,40,"Adam Crahen","12:12 PM - 27 Nov 2016 ","@acrahen",48.0001,"No Error","https://twitter.com/acrahen/status/802968477719855104"
2,35,"Adam Crahen","10:04 AM - 20 Nov 2016 ","@acrahen",47.0001,"No Error","https://twitter.com/acrahen/status/800399428792291328"
12,54,"Adam Crahen","2:37 PM - 13 Nov 2016 ","@acrahen",46.0001,"No Error","https://twitter.com/acrahen/status/797931422572888064"
3,14,"Adam Crahen","1:37 PM - 7 Nov 2016 ","@acrahen",45.0001,"No Error","https://twitter.com/acrahen/status/795742064042446848"
5,36,"Adam Crahen","6:20 PM - 30 Oct 2016 ","@acrahen",44.0001,"No Error","https://twitter.com/acrahen/status/792898893948264449"
NA,7,"Adam Crahen","10:03 AM - 23 Oct 2016 ","@acrahen",43.0001,"No Error","https://twitter.com/acrahen/status/790237150553997312"
2,33,"Adam Crahen","8:22 AM - 23 Oct 2016 ","@acrahen",43.0002,"No Error","https://twitter.com/acrahen/status/790211764461903872"
19,68,"Adam Crahen","12:38 PM - 16 Oct 2016 ","@acrahen",42.0001,"No Error","https://twitter.com/acrahen/status/787739421705666560"
NA,NA,NA,NA,NA,41.0001,"Not Twitter URL/Variety Error Type",""
5,24,"Adam Crahen","11:20 AM - 2 Oct 2016 ","@acrahen",40.0001,"No Error","https://twitter.com/acrahen/status/782646535070842880"
NA,NA,NA,NA,NA,39.0001,"Not Twitter URL/Variety Error Type",""
3,21,"Adam Crahen","4:58 PM - 17 Sep 2016 ","@acrahen",38.0001,"No Error","https://twitter.com/acrahen/status/777295798216327168"
1,15,"Adam Crahen","2:02 PM - 11 Sep 2016 ","@acrahen",37.0001,"No Error","https://twitter.com/acrahen/status/775077004349698049"
3,21,"Adam Crahen","5:11 PM - 4 Sep 2016 ","@acrahen",36.0001,"No Error","https://twitter.com/acrahen/status/772587944012054529"
