"Week","XLS","TDE","CSV","fullLink","Link","Date","Article","Download"
1,"http://1drv.ms/1JjABLA","","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!9920&ithint=file,xlsx&lor=shortUrl","http://fivethirtyeight.com/features/bryce-harper-nl-mvp-mlb/","Jan 4 2016","Bryce Harper Should Have Made $73 Million More","https://onedrive.live.com/download?resid=43EBDBC5D5265516!9920&ithint=file,xlsx"
2,"http://1drv.ms/1Sx0OIA","http://1drv.ms/1PQzy5k","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!9935&ithint=file,csv&lor=shortUrl","http://uk.businessinsider.com/stephen-curry-shot-chart-2015-12","Jan 11 2016","The NBA's Greatest Shooter Hates Mid-Range Jump Shots","https://onedrive.live.com/download?resid=43EBDBC5D5265516!9935&ithint=file,csv&lor=shortUrl"
3,"http://1drv.ms/1Rfwsea","http://1drv.ms/1n588zA","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!9972&ithint=file,xlsx&lor=shortUrl","http://uk.businessinsider.com/people-are-getting-tired-of-buying-new-devices-2016-1","Jan 18 2016","Are Consumers Bored With Technology?","https://onedrive.live.com/download?resid=43EBDBC5D5265516!9972&ithint=file,xlsx"
4,"http://1drv.ms/1JjAIGR","","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!9947&ithint=file,xlsx&lor=shortUrl","http://www.gobankingrates.com/savings-account/62-percent-americans-under-1000-savings-survey-finds/","Jan 25 2016","Americans Have Too Little Savings","https://onedrive.live.com/download?resid=43EBDBC5D5265516!9947&ithint=file,xlsx"
5,"http://1drv.ms/1RITcDu","http://1drv.ms/1RITgDx","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!9987&ithint=file,xlsx&lor=shortUrl","http://uk.businessinsider.com/travel-agents-vs-online-hotel-bookings-2015-12","Feb 1 2016","Travel Agents Are a Relic of the Past and Hotels Could Be Next","https://onedrive.live.com/download?resid=43EBDBC5D5265516!9987&ithint=file,xlsx"
6,"http://1drv.ms/1KzfR2R","","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10019&ithint=file,xlsx&lor=shortUrl","http://mappingpoliceviolence.org/2015/","Feb 8 2016","Mapping Police Violence","https://onedrive.live.com/download?resid=43EBDBC5D5265516!10019&ithint=file,xlsx"
7,"http://1drv.ms/1QcAvmb","http://1drv.ms/1K2VKub","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10016&ithint=file,xlsx&lor=shortUrl","http://www.forbes.com/sites/kevinanderton/2015/12/31/adults-vs-teens-video-game-edition-infographic/#1533b0356956","Feb 15 2016","Adults vs Teens: Video Game Edition","https://onedrive.live.com/download?resid=43EBDBC5D5265516!10016&ithint=file,xlsx"
8,"http://1drv.ms/1O4M8Nx","http://1drv.ms/1ow3WsL","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!9961&ithint=file,xlsx&lor=shortUrl","http://uk.businessinsider.com/which-services-use-the-most-bandwidth-2015-12","Feb 22 2016","America's Biggest Bandwidth Hogs","https://onedrive.live.com/download?resid=43EBDBC5D5265516!9961&ithint=file,xlsx"
9,"http://1drv.ms/1UmMhQy","http://1drv.ms/1UmMgfA","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10049&ithint=file,xlsx&lor=shortUrl","http://www.mailonsunday.co.uk/sport/football/article-3456453/Mind-gap-Premier-League-wages-soar-average-salaries-2014-15-season-1-7million-rest-creep-along.html","Feb 29 2016","Mind the Gap - Football Wages in England","https://onedrive.live.com/download?resid=43EBDBC5D5265516!10049&ithint=file,xlsx"
10,"http://1drv.ms/1U17sXQ","http://1drv.ms/1prAy7H","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10061&ithint=file,xlsx&lor=shortUrl","https://public.tableau.com/profile/andy.cotgreave#!/vizhome/FarigroundInjuries/Fairgroundaccidentrates","Mar 7 2016","How Safe Are You at Your Local Fairground?","https://onedrive.live.com/download?resid=43EBDBC5D5265516!10061&ithint=file,xlsx"
11,"http://1drv.ms/1TWehvc","http://1drv.ms/1prABAg","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10062&ithint=file,xlsx&lor=shortUrl","http://vizwiz.blogspot.com/2010/11/transparency-international-corruption.html","Mar 14 2016","Transparency International Corruption Perceptions Index","https://onedrive.live.com/download?resid=43EBDBC5D5265516!10062&ithint=file,xlsx"
12,"https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10067&amp;authkey=!AIIAZ2lI-P3L-Is&amp;ithint=file%2cxlsx","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10112&amp;authkey=!ABewUU83fElRFsY&amp;ithint=file%2ctde","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10067&amp;authkey=!AIIAZ2lI-P3L-Is&amp;ithint=file%2cxlsx","http://www.theguardian.com/global-development/ng-interactive/2014/feb/04/womens-rights-country-by-country-interactive","Mar 21 2016","Women's Rights - Country by Country","https://onedrive.live.com/download?resid=43EBDBC5D5265516!10067&amp;authkey=!AIIAZ2lI-P3L-Is&amp;ithint=file%2cxlsx"
13,"https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10119&amp;authkey=!AHspCVVAt8_I-e4&amp;ithint=file%2cxlsx","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10121&amp;authkey=!ALCkB5XiW6Fid9w&amp;ithint=file%2ctde","","https://onedrive.live.com/redir?resid=43EBDBC5D5265516!10119&amp;authkey=!AHspCVVAt8_I-e4&amp;ithint=file%2cxlsx","http://www.bbc.co.uk/news/health-35824424","Mar 28 2016","Sugar tax: How bold is it?","https://onedrive.live.com/download?resid=43EBDBC5D5265516!10119&amp;authkey=!AHspCVVAt8_I-e4&amp;ithint=file%2cxlsx"
