Pinterest Board,Pinboard URL,Image URL,Description,Pin Note,Original Link,Pinterest URL,Name,Week,Date Pinned
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/b6/b7/3f/b6b73f47d48b3ddcb9cb8a6003086ec8.jpg,#Tuesday is the new #Monday and so another #MakeoverMonday! - DC Metro Scorecard! - @tableaupublic interactive #viz: https://t.co/4EiSAyYjRz,Week 51 - Pablo Gomez,https://twitter.com/PabloLGomez/status/811262386351046658,https://www.pinterest.com/pin/468937379935195290/,Pablo Gomez,51,12/22/2016 15:38
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/2f/b8/f2/2fb8f29bee2106cd4b647518fbb225f7.jpg,Slightly painful #MakeOverMonday attempt at producing a mobile dashboard https://t.co/MglnZpNEJf,Week 51 - Rob Radburn,https://twitter.com/robradburn/status/811289272280027136,https://www.pinterest.com/pin/468937379935195280/,Rob Radburn,51,12/22/2016 15:37
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/90/e1/1d/90e11d75447b9427584a133729c3f558.jpg,DC Metro Scorecard – Week 51 #MakeoverMonday #Tableau https://t.co/lLGtMcUZAj,Week 51 - Rosario Gauna,https://twitter.com/rosariogaunag/status/811790669924732928,https://www.pinterest.com/pin/468937379935195178/,Rosario Gauna,51,12/22/2016 15:28
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/7b/1b/00/7b1b00775feb8a95d13f0e08196f5ac5.jpg,"First #MakeoverMonday (week 51), on DC Metropolitan scorecard",Week 51 - Grégory Escallier,https://twitter.com/Greg_Escallier/status/811850108002332672,https://www.pinterest.com/pin/468937379935195172/,Grégory Escallier,51,12/22/2016 15:27
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/4c/66/49/4c66497cf1fdd03d389cb4c3539548f2.jpg,Another #MakeoverMonday I've created few weeks ago (week 47). Hard to make it better than @VizCandy...,Week 47 - Grégory Escallier,https://twitter.com/Greg_Escallier/status/811855115808370688,https://www.pinterest.com/pin/468937379935195165/,Grégory Escallier,47,12/22/2016 15:26
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/a4/19/6c/a4196cc4ae1581af199b57f327263234.jpg,Delayed #makeovermonday Wk 51 Washington Metro Performance - Bus & Rail only https://t.co/LTXeOw8hLD @tableaupublic,Week 51 - Rhodri Rowlands,https://twitter.com/GlyndwrCo/status/811892284048441344,https://www.pinterest.com/pin/468937379935195156/,Rhodri Rowlands,51,12/22/2016 15:26
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/b9/81/28/b98128f9680f3c8f1b9c4505bea6f159.jpg,Week 21 of #MakeoverMonday Arms Trading around the world @tableaupublic https://t.co/P1ULMgExTp,Week 21 - Shivaraj,https://twitter.com/shivrajc/status/811926807498747904,https://www.pinterest.com/pin/468937379935195140/,Shivaraj,21,12/22/2016 15:25
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/78/4b/96/784b9625ebcfd42b75ca6884b40585ef.jpg,DC Metro Scorecard Viz :- #MakeoverMonday Week 51 URL - https://t.co/b5GQSnT1jm,Week 51 - Ashish Chaudhari,https://twitter.com/ashishcool1988/status/811946793063677954,https://www.pinterest.com/pin/468937379935195121/,Ashish Chaudhari,51,12/22/2016 15:24
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/34/19/9c/34199cf356b45f632283bf1377dbc496.png,,Week 51 - Michael Mixon,,https://www.pinterest.com/pin/468937379935192406/,Michael Mixon,51,12/22/2016 8:51
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/c7/fc/78/c7fc7848d1eeac838f8faafd88179b51.png,,Week 51 - Shawn Levin,,https://www.pinterest.com/pin/468937379935179620/,Shawn Levin,51,12/21/2016 12:05
